Year,Degree1,Degree2,Degree3,Degree4,Degree5,Degree6,Degree7,Degree8,Degree9,Degree10
2004,4516,4008,4630,4460,4420,4662,4828,19450,6104,9750
2005,4688,4008,4864,4640,4420,4792,5278,20810,6104,10500
2006,4848,4008,5278,4760,3640,4792,5496,22260,6796,11540
2007,5216,4508,5700,5010,4072,4208,5834,24300,6826,12000
2008,5952,5460,6400,5580,4072,4664,6500,25586,6826,12720
2009,6510,6468,7000,5970,4692,5096,6972,26746,7370,13690
2010,7492,7164,7900,6620,5800,5806,7900,27890,7370,14810
2011,8094,8082,8600,7580,6828,6264,8698,29290,8090,15880
2012,8794,7932,9200,8150,7182,6798,9446,30690,8090,17380
2013,9192,8720,9450,8750,7182,7206,9852,30690,8090,18230
2014,9158,8720,9826,9080,9096,7510,10200,31708,10320,18750
2015,9128,8720,10170,9350,9366,7766,10424,33128,10320,19280
