Year	Degree1	Degree2	Degree3	Degree4	Degree5	Degree6	Degree7	Degree8	Degree9	Degree10	Percentile0_40	Percentile40_60	Percentile60_75	Percentile75_86	Percentile86_95	Percentile95_100
2004	4516	4008	4630	4460	4420	4662	4828	19450	6104	9750	14135	16230	19900	20630	25950	29910
2005	4688	4008	4864	4640	4420	4792	5278	20810	6104	10500	14965	17186	21134	21850	27667	31542
2006	4848	4008	5278	4760	3640	4792	5496	22260	6796	11540	15842.5	18430	22257	23391	29181.5	33478
2007	5216	4508	5700	5010	4072	4208	5834	24300	6826	12000	16907.5	19600	23646.5	24990	31441	35278
2008	5952	5460	6400	5580	4072	4664	6500	25586	6826	12720	17996	20582	25164	26424	33382.5	37242
2009	6510	6468	7000	5970	4692	5096	6972	26746	7370	13690	18917	21880	26180	27744	35066.5	38679
2010	7492	7164	7900	6620	5800	5806	7900	27890	7370	14810	19820	22890	27160	28858	36659.5	40306
2011	8094	8082	8600	7580	6828	6264	8698	29290	8090	15880	20599	23765	28654	30339	38180.5	41987.5
2012	8794	7932	9200	8150	7182	6798	9446	30690	8090	17380	21257.5	24960	29942	31992	39563.5	43561
2013	9192	8720	9450	8750	7182	7206	9852	30690	8090	18230	22274	25716	31069	33000	41000	45317
2014	9158	8720	9826	9080	9096	7510	10200	31708	10320	18750	22925	26416	32165	33982	42551.5	46776
2015	9128	8720	10170	9350	9366	7766	10424	33128	10320	19280	23910	27710	33455	35421	43985.5	48523
