Year,Abilene Christian University - TX,Abraham Baldwin Agricultural College - GA,Adams State University - CO,Adelphi University - NY,Adrian College - MI,Adventist University of Health Sciences - FL,Agnes Scott College - GA,Alabama A & M University - AL,Alabama State University - AL,Albany College of Pharmacy and Health Sciences - NY
2004,14200,1922,2602,18925,17600,5555,22050,4420,4008,17742
2005,14610,2026,4773,19960,18530,6020,23570,4420,4008,18770
2006,16330,2106,2924,20900,19900,7720,25685,3640,4008,20290
2007,17410,2374,3466,23000,21620,8170,27387,4072,4508,21150
2008,18930,2496,3790,25240,23390,8770,29060,4072,5460,22650
2009,20290,2696,4454,26230,24440,9280,30105,4692,6468,23860
2010,22760,2962,4971,27900,25900,9580,31283,5800,7164,25120
2011,25270,3172,5627,28460,27440,10030,32195,6828,8082,26380
2012,26770,3279,6448,29320,29156,10780,33461,7182,7932,27595
2013,28350,3848,7449,30800,30758,11830,34788,7182,8720,28900
2014,29450,3394,8014,32340,32660,12430,35982,9096,8720,30131
2015,30830,3453,8574,34034,33610,13030,37236,9366,8720,31081
